userId,Duration,Wellbeing/Performance Potential,Job Satisfaction,Job Engagement,Intent to Stay,Belonging in Organization,Healthy Workplace Relationships,Inclusive Leadership,Job Autonomy,Job Crafting,Job Security,Job Significance,Leadership Feedback Style,Opportunities for Advancement,Reward or Compensation Satisfaction,Scheduling Control,Social Support at Work,Work Knowledge Acquisition,Work-Life Balance,Workload,Value Alignment,Time for Leisure,Charity,Cognitive Empathy,Dietary Quality,Emotional Empathy,Gratitude,Healthy Personal Relationships,Knowledge Desire and Curiosity,Mindfulness Practice,Regular Meal Energy,Sleep Pattern Consistency,Sleep Quality,Workout Balance,Workout Frequency and length,Our leaders treat staff with respect.,Staff treat each other with respect.,My co-workers trust in me and each other.,"In my area, employees are treated fairly.",I am empowered to investigate problems and explore new ideas at work.,Demographic 1,Demographic 2,Demographic 3,Demographic 4
User 1,444.641,66,100,81.25,100,100,100,100,100,75,75,75,100,75,75,62.5,87.5,50,100,75,100,100,75,62.5,50,75,75,100,75,66,83,66.66666667,50,33,57.5,Stongly disagree,Disagree,Disagree,Stongly disagree,Stongly disagree,Group 1,,,
User 2,467.222,75,80,75,80,50,75,75,75,75,25,87.5,50,62.5,50,75,62.5,75,75,75,75,75,75,75,25,75,62.5,75,75,0,83,25,68.75,66,90,Stongly disagree,Disagree,Disagree,Stongly disagree,Stongly disagree,Group 1,,,
User 3,575.137,81,60,56.25,40,75,75,100,100,75,75,75,87.5,62.5,25,75,100,87.5,100,75,75,75,87.5,87.5,75,91.66666667,87.5,87.5,87.5,66,83,50,75,66,80,Stongly disagree,Disagree,Disagree,Stongly disagree,Stongly disagree,Group 1,,,
User 4,373.088,48,60,93.75,100,50,75,75,75,25,100,75,75,62.5,50,0,75,75,75,75,75,75,75,75,75,75,75,100,75,0,66.5,33.33333333,56.25,66,90,Agree,Stongly disagree,Stongly disagree,Stongly disagree,Disagree,Group 1,,,
User 5,376.625,61,80,68.75,80,75,75,75,87.5,50,75,87.5,75,62.5,37.5,12.5,87.5,75,75,25,100,25,75,75,75,75,62.5,75,75,66,50,41.66666667,31.25,33,42.5,Agree,Stongly disagree,Stongly disagree,Stongly disagree,Agree,Group 2,,,
User 6,393.017,54,60,56.25,80,75,75,25,75,62.5,75,25,37.5,75,62.5,75,75,62.5,50,75,75,50,37.5,75,25,75,75,75,50,0,83,58.33333333,37.5,0,0,Agree,Stongly disagree,Stongly disagree,Stongly disagree,Agree,Group 2,,,
User 7,1045.802,75,80,100,80,75,100,75,75,50,75,75,75,50,75,12.5,75,87.5,75,75,75,75,87.5,75,75,75,87.5,100,100,100,83,66.66666667,43.75,66,80,Agree,Disagree,Strongly agree,Stongly disagree,Stongly disagree,Group 2,,,
User 8,700.219,69,80,68.75,80,75,50,75,75,75,100,62.5,75,75,75,75,100,75,50,75,75,50,87.5,62.5,0,66.66666667,87.5,87.5,75,0,58,8.333333333,31.25,0,0,Agree,Disagree,Strongly agree,Disagree,Stongly disagree,Group 2,,,
User 9,445.368,88,100,81.25,100,100,75,25,75,75,100,75,62.5,75,62.5,75,75,87.5,75,75,100,75,100,100,100,91.66666667,100,100,87.5,100,100,83.33333333,87.5,66,87.5,Agree,Disagree,Strongly agree,Disagree,Stongly disagree,Group 2,,,
User 10,549.253,46,60,50,40,75,75,75,62.5,50,50,50,75,62.5,0,50,50,62.5,25,75,50,0,50,75,50,75,50,75,62.5,33,83,75,62.5,0,32.5,Agree,Disagree,Disagree,Disagree,Stongly disagree,Group 2,,,
User 11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group 1,,,
User 12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group 2,,,
User 13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group 1,,,
User 14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group 2,,,
User 15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Group 2,,,